Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
5,"Hagler, Marissa",SO-2,Illinois Wesleyan,01:11.7,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,400 Hurdles,CCIW,Women
6,"Brown, Holly",JR-3,Wheaton (Ill.),01:12.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
7,"Eades, Audrey",FR-1,Millikin,01:13.5,Greenville College Select Meet,15-Apr-23,NaN,400 Hurdles,CCIW,Women
8,"Burke, Kayley",SR-4,Elmhurst,01:13.9,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
9,"Eisses, Olivia",SR-4,Wheaton (Ill.),01:14.3,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
10,"Coyle, Audrey",SR-4,Wheaton (Ill.),01:16.2,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
11,"Maragni, Maddie",FR-1,Millikin,01:16.9,Greenville College Select Meet,15-Apr-23,NaN,400 Hurdles,CCIW,Women
12,"Kreuziger, Emma",SO-2,Carthage,01:20.7,Wheaton Invitational 2023,14-Apr-23,NaN,400 Hurdles,CCIW,Women
1,"Hoffmann, Luke",SO-2,North Central (Ill.),09:26.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
2,"Langridge, Joe",SO-2,Augustana (Ill.),09:42.7,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Men
3,"Fischer, Cameron",JR-3,Carthage,09:53.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
4,"Fopma, Jacob",JR-3,Wheaton (Ill.),09:57.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
5,"Davis, Topher",SO-2,Carthage,09:59.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
6,"Halbrader, Nathan",SO-2,North Central (Ill.),10:01.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
7,"Bush, Gabe",JR-3,Millikin,10:04.2,Illinois College True Blue Invite,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
8,"Voetberg, Christian",SR-4,Wheaton (Ill.),10:10.7,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
9,"Noyes, Jonah",FR-1,Wheaton (Ill.),10:16.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
10,"Fopma, Noah",JR-3,Wheaton (Ill.),10:19.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
11,"Hernandez Lopez, Julio",SO-2,Millikin,10:30.3,Wash U 5 Way,25-Mar-23,NaN,3000 Steeplechase,CCIW,Men
12,"Buske, Ian",SR-4,North Central (Ill.),10:31.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
13,"Schlichting, Aidan",SO-2,Millikin,10:34.1,Greenville College Select Meet,15-Apr-23,NaN,3000 Steeplechase,CCIW,Men
14,"Veurink, Braedon",FR-1,Wheaton (Ill.),10:37.2,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
15,"Mudler, Kyle",SO-2,North Central (Ill.),10:38.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
16,"Gieser, Tobiah",FR-1,Wheaton (Ill.),10:41.6,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Men
17,"Marquardt, Zach",FR-1,Illinois Wesleyan,10:42.5,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Men
18,"Gray, Ethan",SR-4,Augustana (Ill.),11:14.7,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Men
1,"Smeed, Bethany",FR-1,North Central (Ill.),11:31.5,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Women
2,"Brown, Esther",SO-2,Elmhurst,11:37.3,Beach Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Women
3,"Collings, Quincy",SO-2,Millikin,11:48.3,Greenville College Select Meet,15-Apr-23,NaN,3000 Steeplechase,CCIW,Women
4,"Rogers, Destiny",SR-4,Wheaton (Ill.),11:54.7,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
5,"Odle , Emma",JR-3,Augustana (Ill.),12:06.1,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Women
6,"Crabtree, Adriana",FR-1,Illinois Wesleyan,12:09.7,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,3000 Steeplechase,CCIW,Women
7,"Conrad, Natalie",SO-2,Wheaton (Ill.),12:11.4,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
8,"Lebo, Lily",FR-1,Wheaton (Ill.),12:12.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
9,"O'Malley, Hailey",SR-4,Millikin,12:24.4,Greenville College Select Meet,15-Apr-23,NaN,3000 Steeplechase,CCIW,Women
10,"Runkle, Paige",SO-2,North Central (Ill.),12:40.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
11,"LaBrin, Elizabeth",FR-1,Wheaton (Ill.),12:41.1,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
12,"Nazos, Brooke",FR-1,Illinois Wesleyan,12:45.1,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,3000 Steeplechase,CCIW,Women
13,"Kovats, Anna",SR-4,Elmhurst,12:47.8,Illinois College True Blue Invite,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
14,"Mead, Alyssa",FR-1,North Central (Ill.),13:08.7,Wheaton Invitational 2023,14-Apr-23,NaN,3000 Steeplechase,CCIW,Women
15,"Kustra, Michaela",JR-3,Wheaton (Ill.),13:10.5,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
16,"Everest, Elena",FR-1,Wheaton (Ill.),13:32.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,3000 Steeplechase,CCIW,Women
1,"Schumacher, Lowder, Tacket, Scott",NA,Illinois Wesleyan,41.7,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,4 x 100 Relay,CCIW,Men
2,"Mitchell, Shugarman, Nelson, Anderson",NA,Carthage,42,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Men
3,"Koslofski, Griffin, Nwatu, Bleich",NA,Millikin,42.01,Greenville College Select Meet,15-Apr-23,NaN,4 x 100 Relay,CCIW,Men
4,"Smith, McBride, Clements, Sottos",NA,Augustana (Ill.),42.08,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Men
5,"Marra, Ratcliff, Nickel, Lind",NA,Carroll (Wis.),42.25,Beloit Relays,15-Apr-23,NaN,4 x 100 Relay,CCIW,Men
6,"Williams, Lehman, Myles, Spivery",NA,North Central (Ill.),42.78,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,4 x 100 Relay,CCIW,Men
7,"Gilbert, Sanoussi, Bradley, Langan",NA,Wheaton (Ill.),43.13,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,4 x 100 Relay,CCIW,Men
8,"Cavallo, Colant, Redmond, Ferrantelli",NA,Elmhurst,43.85,Illinois College True Blue Invite,7-Apr-23,NaN,4 x 100 Relay,CCIW,Men
9,"Madrigal, Kleiner, Booker, Singmandeewised",NA,North Park,44.14,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Men
1,"Jackson, Babinec, Novak, Partee",NA,North Central (Ill.),47.08,Beach Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Women
2,"Marshall, David, Schwarz, Hussaini",NA,Elmhurst,47.31,Illinois College True Blue Invite,7-Apr-23,NaN,4 x 100 Relay,CCIW,Women
3,"Smith, Lemon, Burke, Griffin",NA,Illinois Wesleyan,49.16,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,4 x 100 Relay,CCIW,Women
4,"Kegel, Topolski, Hall, Kerfin",NA,Carthage,49.87,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Women
5,"Keane, VanWingerden, Sigler, Gum",NA,Wheaton (Ill.),50.24,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,4 x 100 Relay,CCIW,Women
6,"Brown, Ring, Parker-Fox, Hayes",NA,North Park,50.38,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Women
7,"VanSanten, Morrow, Clapp, Reser",NA,Augustana (Ill.),51.93,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 100 Relay,CCIW,Women
8,"Mueller, Gregory, Halversen, Olund",NA,Carroll (Wis.),52.94,Beloit Relays,15-Apr-23,NaN,4 x 100 Relay,CCIW,Women
1,"Bleich, Lasack, Griffin, Shumaker",NA,Millikin,03:16.2,Greenville College Select Meet,15-Apr-23,NaN,4 x 400 Relay,CCIW,Men
2,"Murray, Schumacher, Waterson, Lowder",NA,Illinois Wesleyan,03:19.6,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Men
3,"Marra, Nickel, Adams, Raatz",NA,Carroll (Wis.),03:22.5,Beloit Relays,15-Apr-23,NaN,4 x 400 Relay,CCIW,Men
4,"Tomko, McBride, Smith, Cathcart",NA,Augustana (Ill.),03:27.0,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Men
5,"Balas, Jerikian, Upmann, Barber",NA,Carthage,03:29.8,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,4 x 400 Relay,CCIW,Men
6,"Clausen, Langan, Zerbe, Going",NA,Wheaton (Ill.),03:30.0,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,4 x 400 Relay,CCIW,Men
7,"Robinson, Lehman, Connor, Piron",NA,North Central (Ill.),03:33.1,Spartan Opener,2-Apr-23,NaN,4 x 400 Relay,CCIW,Men
8,"Wieser, Slaven, Diaz, Santos",NA,Elmhurst,03:51.6,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Men
1,"Jones, David, Munoz, Rafuse",NA,Elmhurst,04:01.5,Illinois College True Blue Invite,7-Apr-23,NaN,4 x 400 Relay,CCIW,Women
2,"Grunloh, Gonzalez, Lemon, Griffin",NA,Illinois Wesleyan,04:03.7,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Women
3,"Garcia, Ruiz, LeFaivre, Risner",NA,Millikin,04:05.3,Illinois College True Blue Invite,7-Apr-23,NaN,4 x 400 Relay,CCIW,Women
4,"Gum, VanWingerden, Richert, Veth",NA,Wheaton (Ill.),04:07.7,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Women
5,"Kerfin, Heinrichs, Kegel, Nisius",NA,Carthage,04:17.0,Wheaton Invitational 2023,14-Apr-23,NaN,4 x 400 Relay,CCIW,Women
6,"Reser, Maatouk, Morrow, Nelson",NA,Augustana (Ill.),04:23.6,Wartburg Outdoor Select,1-Apr-23,NaN,4 x 400 Relay,CCIW,Women
7,"Brandt, Babinec, Wagner, Fleury",NA,North Central (Ill.),04:28.6,Spartan Opener,2-Apr-23,NaN,4 x 400 Relay,CCIW,Women
8,"Watson, Buboltz, Dresang, Tollerud",NA,Carroll (Wis.),04:29.5,Beloit Relays,15-Apr-23,NaN,4 x 400 Relay,CCIW,Women
1,"Sarver, Jake",FR-1,Millikin,1.90m,Wash U 5 Way,25-Mar-23,NaN,High Jump,CCIW,Men
2,"Cummings, James",SR-4,Wheaton (Ill.),1.88m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Men
2,"Clausen, Isaiah",SR-4,Wheaton (Ill.),1.88m,Gibson Invitational & Multis,13-Apr-23,NaN,High Jump,CCIW,Men
4,"Powers, Glenn",FR-1,Millikin,1.85m,Wash U 5 Way,25-Mar-23,NaN,High Jump,CCIW,Men
4,"Fornoff, Nick",JR-3,Millikin,1.85m,Wash U 5 Way,25-Mar-23,NaN,High Jump,CCIW,Men
6,"Oleson, Cole",FR-1,North Central (Ill.),1.83m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Men
7,"Myles, Prentice",FR-1,North Central (Ill.),1.80m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
7,"Smith, Heath",FR-1,Illinois Wesleyan,1.80m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
7,"Tatlock, Drew",JR-3,Illinois Wesleyan,1.80m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
7,"Estrada, Rafael",SO-2,Augustana (Ill.),1.80m,Wartburg Outdoor Select,1-Apr-23,NaN,High Jump,CCIW,Men
11,"Estrada, Sebastian",SO-2,Carthage,1.73m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Men
12,"Ramsfjell, Daniel",SO-2,North Park,1.70m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
12,"von Schwedler, Brett",SR-4,Elmhurst,1.70m,2023 Millikin Alumni Invite,1-Apr-23,NaN,High Jump,CCIW,Men
12,"Morales-Rivera, Edelmar",JR-3,Carthage,1.70m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
12,"Whitaker, Isaac",FR-1,Illinois Wesleyan,1.70m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Men
16,"Molitor, Nick",FR-1,Millikin,1.65m,2023 Millikin Alumni Invite,1-Apr-23,NaN,High Jump,CCIW,Men
16,"Nelson, Jaylan",FR-1,Carthage,1.65m,Wisconsin Private College Championships,2-Apr-23,NaN,High Jump,CCIW,Men
18,"Ahlberg, Jacob",SO-2,North Central (Ill.),1.58m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Men
1,"Loiz, Gabriela",SR-4,Augustana (Ill.),1.62m,SAU Easter Weekend,5-Apr-23,NaN,High Jump,CCIW,Women
2,"Marshall, Rhiannon",FR-1,Augustana (Ill.),1.55m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
2,"Miller, Esther",SR-4,North Park,1.55m,2023 Bryan Clay Invitational,13-Apr-23,NaN,High Jump,CCIW,Women
4,"Bradley, Vashayla",FR-1,Elmhurst,1.50m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
4,"Quinn, Mary",JR-3,Carroll (Wis.),1.50m,Rex Foster Twilight,7-Apr-23,NaN,High Jump,CCIW,Women
4,"Klein, Julia",FR-1,North Park,1.50m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
7,"Halversen, Sydney",SO-2,Carroll (Wis.),1.48m,St. Norbert Twilight,6-Apr-23,NaN,High Jump,CCIW,Women
7,"Cotter, Anna",JR-3,North Central (Ill.),1.48m,Spartan Opener,2-Apr-23,NaN,High Jump,CCIW,Women
9,"Ladin, Faith",JR-3,North Central (Ill.),1.46m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Women
9,"Johnston, Teagan",SO-2,Carthage,1.46m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Women
11,"Sago, Hannah",FR-1,Millikin,1.45m,Wash U 5 Way,25-Mar-23,NaN,High Jump,CCIW,Women
12,"Green, Kayla",JR-3,Millikin,1.40m,Illinois College True Blue Invite,7-Apr-23,NaN,High Jump,CCIW,Women
12,"Camaci, Angelina",FR-1,Elmhurst,1.40m,Illinois College True Blue Invite,7-Apr-23,NaN,High Jump,CCIW,Women
14,"Gum, Abi",SR-4,Wheaton (Ill.),1.35m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
14,"Johnson, Erica",JR-3,North Central (Ill.),1.35m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
14,"Stephens, Sarah",JR-3,Elmhurst,1.35m,2023 Millikin Alumni Invite,1-Apr-23,NaN,High Jump,CCIW,Women
17,"Jones, Hannah",JR-3,North Central (Ill.),1.31m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Women
18,"Hartmann, Sadie",SO-2,Elmhurst,1.30m,Illinois College True Blue Invite,7-Apr-23,NaN,High Jump,CCIW,Women
18,"Jenkins, Grace",FR-1,Augustana (Ill.),1.30m,Wheaton Invitational 2023,14-Apr-23,NaN,High Jump,CCIW,Women
20,"Eisses, Olivia",SR-4,Wheaton (Ill.),1.21m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Women
20,"Tompkins, Hannah",FR-1,Wheaton (Ill.),1.21m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,High Jump,CCIW,Women
1,"Whitaker, Isaac",FR-1,Illinois Wesleyan,4.55m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
2,"Butts, Derek",JR-3,Augustana (Ill.),4.45m,SAU Easter Weekend,5-Apr-23,NaN,Pole Vault,CCIW,Men
3,"Gatsos, Christian",JR-3,Illinois Wesleyan,4.40m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
4,"Tobin, Matt",SR-4,Elmhurst,4.25m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
4,"Divenere, Anthony",SO-2,North Central (Ill.),4.25m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Pole Vault,CCIW,Men
6,"Clausen, Isaiah",SR-4,Wheaton (Ill.),4.20m,Gibson Invitational & Multis,13-Apr-23,NaN,Pole Vault,CCIW,Men
7,"Carr, Gavin",SR-4,North Central (Ill.),4.15m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Men
7,"Rohr, Seth",SR-4,Augustana (Ill.),4.15m,Rex Foster Twilight,7-Apr-23,NaN,Pole Vault,CCIW,Men
7,"McNeill, Reid",SO-2,Augustana (Ill.),4.15m,SAU Easter Weekend,5-Apr-23,NaN,Pole Vault,CCIW,Men
10,"Jaquinde, Joel",SO-2,North Central (Ill.),4.10m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Pole Vault,CCIW,Men
10,"England, Jason",JR-3,North Central (Ill.),4.10m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Pole Vault,CCIW,Men
12,"Turney, Logan",FR-1,Elmhurst,4.01m,Illinois College True Blue Invite,7-Apr-23,NaN,Pole Vault,CCIW,Men
13,"Cebulski, Corey",FR-1,Millikin,4.00m,Greenville College Select Meet,15-Apr-23,NaN,Pole Vault,CCIW,Men
14,"Ruettiger, Michael",SO-2,North Central (Ill.),3.85m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Men
14,"Ahlberg, Jacob",SO-2,North Central (Ill.),3.85m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Men
16,"Green, Cameron",JR-3,North Central (Ill.),3.80m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Pole Vault,CCIW,Men
16,"Schuurman, Joshua",FR-1,Wheaton (Ill.),3.80m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
16,"Nguy, Davis",SR-4,Illinois Wesleyan,3.80m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
19,"Kedzior, Adam",SO-2,Carthage,3.75m,Wisconsin Private College Championships,2-Apr-23,NaN,Pole Vault,CCIW,Men
19,"Fialek, Kean",FR-1,Carthage,3.75m,Wisconsin Private College Championships,2-Apr-23,NaN,Pole Vault,CCIW,Men
21,"Lapp, Shaune",SR-4,North Central (Ill.),3.70m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Men
22,"O'Neill, Aidan",SO-2,Carthage,3.65m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Men
23,"Estrada, Sebastian",SO-2,Carthage,3.45m,Wisconsin Private College Championships,2-Apr-23,NaN,Pole Vault,CCIW,Men
24,"Hoadley, Dalton",SO-2,Millikin,3.05m,Greenville College Select Meet,15-Apr-23,NaN,Pole Vault,CCIW,Men
1,"Berenyi, Gwen",FR-1,North Central (Ill.),3.65m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Women
2,"Calhoun, Abigail",JR-3,Carthage,3.50m,Wisconsin Private College Championships,2-Apr-23,NaN,Pole Vault,CCIW,Women
3,"Mueller, Jessica",JR-3,Carroll (Wis.),3.47m,St. Norbert Twilight,6-Apr-23,NaN,Pole Vault,CCIW,Women
4,"Johnson, Natalie",SO-2,North Central (Ill.),3.40m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Women
4,"Rivera, Ariana",SO-2,North Central (Ill.),3.40m,Spartan Opener,2-Apr-23,NaN,Pole Vault,CCIW,Women
6,"Becker, Kelsey",JR-3,Elmhurst,3.10m,Illinois College True Blue Invite,7-Apr-23,NaN,Pole Vault,CCIW,Women
7,"Mazzenga, Alexis",SO-2,North Central (Ill.),3.05m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Women
7,"Weber, Kate",FR-1,Elmhurst,3.05m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Women
9,"Newill, Hailey",FR-1,Millikin,3.03m,Greenville College Select Meet,15-Apr-23,NaN,Pole Vault,CCIW,Women
10,"Yelle, Haylee",FR-1,Millikin,2.88m,Greenville College Select Meet,15-Apr-23,NaN,Pole Vault,CCIW,Women
11,"Tinder, Grace",SO-2,Carroll (Wis.),2.87m,St. Norbert Twilight,6-Apr-23,NaN,Pole Vault,CCIW,Women
12,"Tu, Grace",SO-2,Elmhurst,2.75m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Women
13,"Simpson, Madeline",FR-1,Carroll (Wis.),2.70m,Wisconsin Private College Championships,2-Apr-23,NaN,Pole Vault,CCIW,Women
14,"Eades, Audrey",FR-1,Millikin,2.65m,Illinois College True Blue Invite,7-Apr-23,NaN,Pole Vault,CCIW,Women
15,"Berryman , Genevieve",SR-4,Augustana (Ill.),2.60m,Wheaton Invitational 2023,14-Apr-23,NaN,Pole Vault,CCIW,Women
16,"Jessen, Madison",FR-1,Millikin,2.50m,Illinois College True Blue Invite,7-Apr-23,NaN,Pole Vault,CCIW,Women
1,"Clausen, Isaiah",SR-4,Wheaton (Ill.),6.87m,Gibson Invitational & Multis,13-Apr-23,1.5,Long Jump,CCIW,Men
2,"Myles, Prentice",FR-1,North Central (Ill.),6.80m,Wheaton Invitational 2023,14-Apr-23,3.5,Long Jump,CCIW,Men
3,"Scott, Jahari",FR-1,Illinois Wesleyan,6.71m,Wabash College Huntsman Family Invite 2023,8-Apr-23,0.7,Long Jump,CCIW,Men
4,"Martinez, Rickey",SO-2,Elmhurst,6.50m,Illinois College True Blue Invite,7-Apr-23,-0.2,Long Jump,CCIW,Men
5,"Hills, Thomas",FR-1,Millikin,6.44m,Greenville College Select Meet,15-Apr-23,1.7,Long Jump,CCIW,Men
6,"Jensen, Ben",SO-2,Carthage,6.39m,NCC 1st Chance Invitational - 2023,7-Apr-23,1.2,Long Jump,CCIW,Men
7,"Johnson, Brooks",SO-2,Illinois Wesleyan,6.38m,Wabash College Huntsman Family Invite 2023,8-Apr-23,1.8,Long Jump,CCIW,Men
8,"Earnst, Jeremy",SR-4,Wheaton (Ill.),6.36m,Wheaton Invitational 2023,14-Apr-23,0.1,Long Jump,CCIW,Men
9,"Bleich, Caleb",JR-3,Millikin,6.33m,Wash U 5 Way,25-Mar-23,1.6,Long Jump,CCIW,Men
9,"Ibarra, Adrian",JR-3,Augustana (Ill.),6.33m,Rex Foster Twilight,7-Apr-23,NWI,Long Jump,CCIW,Men
11,"Robinson, Michael",FR-1,North Central (Ill.),6.24m,Spartan Opener,2-Apr-23,2.6,Long Jump,CCIW,Men
12,"Cummings, James",SR-4,Wheaton (Ill.),6.19m,NCC 1st Chance Invitational - 2023,7-Apr-23,0,Long Jump,CCIW,Men
12,"Fornoff, Nick",JR-3,Millikin,6.19m,2023 Millikin Alumni Invite,1-Apr-23,2.5,Long Jump,CCIW,Men
14,"Grauer, Awstace",FR-1,Millikin,6.16m,2023 Millikin Alumni Invite,1-Apr-23,1.5,Long Jump,CCIW,Men
14,"Jarvis, Alex",JR-3,Carthage,6.16m,Wisconsin Private College Championships,2-Apr-23,2.9,Long Jump,CCIW,Men
16,"Williams, Jahron",SO-2,North Central (Ill.),6.10m,Wheaton Invitational 2023,14-Apr-23,0.6,Long Jump,CCIW,Men
17,"Jarvis, Alizjah",FR-1,Millikin,6.09m,2023 Millikin Alumni Invite,1-Apr-23,3.3,Long Jump,CCIW,Men
18,"Morales-Rivera, Edelmar",JR-3,Carthage,5.86m,NCC 1st Chance Invitational - 2023,7-Apr-23,1.6,Long Jump,CCIW,Men
19,"Nelson, Jaylan",FR-1,Carthage,5.84m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.2,Long Jump,CCIW,Men
20,"Oberg, Cohen",FR-1,Wheaton (Ill.),5.81m,Wheaton Invitational 2023,14-Apr-23,1.3,Long Jump,CCIW,Men
20,"White, Kamren",FR-1,Carthage,5.81m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.7,Long Jump,CCIW,Men
22,"Allen, Sam",JR-3,Augustana (Ill.),5.79m,Wartburg Outdoor Select,1-Apr-23,5.8,Long Jump,CCIW,Men
23,"Estrada, Sebastian",SO-2,Carthage,5.75m,Wheaton Invitational 2023,14-Apr-23,1.5,Long Jump,CCIW,Men
24,"Moran, Collin",FR-1,Carthage,5.46m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.8,Long Jump,CCIW,Men
25,"Khan, Sufyan",FR-1,Elmhurst,5.37m,Wheaton Invitational 2023,14-Apr-23,1.8,Long Jump,CCIW,Men
1,"Hall, Christina",FR-1,Carthage,5.48m,Wisconsin Private College Championships,2-Apr-23,3.2,Long Jump,CCIW,Women
2,"Kegel, Anna",FR-1,Carthage,5.33m,NCC 1st Chance Invitational - 2023,7-Apr-23,1.2,Long Jump,CCIW,Women
3,"Wong, Lauren",JR-3,Illinois Wesleyan,5.22m,Wabash College Huntsman Family Invite 2023,8-Apr-23,2.1,Long Jump,CCIW,Women
4,"Keane, Amy",SR-4,Wheaton (Ill.),5.10m,Wheaton Invitational 2023,14-Apr-23,1.4,Long Jump,CCIW,Women
4,"Garcia, Itzel",SO-2,Millikin,5.10m,Illinois College True Blue Invite,7-Apr-23,-2.1,Long Jump,CCIW,Women
6,"Marshall, Lauren",JR-3,Elmhurst,5.09m,2023 Millikin Alumni Invite,1-Apr-23,2.2,Long Jump,CCIW,Women
7,"Janvrin, Katie",FR-1,Millikin,5.06m,Greenville College Select Meet,15-Apr-23,1.7,Long Jump,CCIW,Women
8,"Matthias, Erin",SR-4,Elmhurst,5.04m,Wheaton Invitational 2023,14-Apr-23,0.9,Long Jump,CCIW,Women
9,"Quinn, Mary",JR-3,Carroll (Wis.),5.01m,Wisconsin Private College Championships,2-Apr-23,1.9,Long Jump,CCIW,Women
